en el séptimo día (on the seventh day) 2018,jim mckay,drama
jane 2017,brett morgen,"biography, documentary"
jaws 1975,steven spielberg,"adventure, thriller, horror"
we are the best! 2014,lukas moodysson,drama
spartacus 1960,stanley kubrick,"adventure, biography, drama, history, war"
small axe: education 2020,steve mcqueen,drama
about endlessness 2021,roy andersson,"drama, fantasy"
back to the future 1985,robert zemeckis,"adventure, sci-fi, comedy"
hope 2021,maria sødahl,"drama, romance"
if beale street could talk 2018,barry jenkins,"drama, romance, crime"
my journey through french cinema 2017,bertrand tavernier,documentary
wallace & gromit: the curse of the were-rabbit 2005,"nick park, steve box","adventure, comedy, animation, family"
the diary of a teenage girl 2015,marielle heller,"drama, romance"
elena 2012,andrei zvyagintsev,drama
all is lost 2013,j.c. chandor,"action, adventure, drama"
hereditary 2018,ari aster,"drama, mystery, thriller, horror"
return to seoul 2022,davy chou,drama
listen to me marlon 2015,stevan riley,"biography, documentary"
gideon's army 2013,dawn porter,documentary
odd man out 1947,carol reed,"drama, thriller, crime"
maria full of grace 2004,joshua marston,"drama, thriller, crime"
fateless 2006,lajos koltai,drama
happy as lazzaro 2018,alice rohrwacher,drama
the fog of war: eleven lessons from the life of robert s. mcnamara 2003,errol morris,"war, documentary"
uncle boonmee who can recall his past lives 2011,apichatpong weerasethakul,"fantasy, comedy"
brokeback mountain 2005,ang lee,"drama, romance, western"
